English Word	English Lemma	Short English Sentence	Long English Sentence	Short Target Sentence	Long Target Sentence
Soot	soot				
Soul	soul	I have a soul.	There wasn't a soul.	Benim bir ruhum var.	İn cin top oynuyordu.
Soup	soup	I want soup.	Thanks for the soup.	Çorba istiyorum.	Çorba için teşekkürler.
Source	source	Source of life.	Cite your sources.	Yaşam kaynağı.	Kaynaklarınızı belirtin.
South	south	To the south.	Which way is south?	Güneye doğru.	Güney ne taraf?
Southern	southern				
Soviet	soviet				
Soybean	soybean				
Space	space	I need space.	Space is the future.	Bir yere ihtiyacım var.	Uzay gelecektir.
Spade	Spade				
Spain	Spain	I'm in Spain.	I love you, Spain.	Ben İspanya'dayım.	Seni seviyorum, İspanya.
Spanish	spanish	I'm Spanish.	It's a Spanish name.	Ben İspanyolum.	O bir İspanyol adı.
Spanking	spanking				
Spark	spark				
Sparkling	sparkle	Her eyes sparkled.	Tom's eyes sparkled.	Onun gözleri parladı.	Tom'un gözleri ışıldadı.
Sparrow	sparrow				
Spasm	spasm				
Spatula	spatula				
Spear	spear				
Specialist	specialist	Tom is a specialist.	Tom is a specialist.	Tom bir uzman.	Tom bir uzman.
Species	specie				
Spectacular	spectacular	It was spectacular.	Tom was spectacular.	O muhteşemdi.	Tom muhteşemdi.
Spectrum	spectrum				
Speculation	speculation				
Speech	speech	I made a speech.	I liked your speech.	Bir konuşma yaptım.	Senin konuşmanı beğendim.
Speed	speed	Speed it up.	He's a speed freak.	Onu hızlandır.	O bir hız tutkunu.
Speedboat	speedboat				
Speeding	speed	Speed it up.	He's a speed freak.	Onu hızlandır.	O bir hız tutkunu.
Spelling	spelling				
Sperm	sperm				
Spermatozoon	spermatozoon				
Sphere	sphere				
Spices	spice	What spices do use?	Cloves are a spice.	Hangi baharatları kullanıyorsun?	Karanfil bir baharattır.
Spicy	spicy	Is it spicy?	It's not too spicy?	Bu baharatlı mı?	Fazla baharatlı değil mi o?
Spider	spider	I hate spiders.	Spiders terrify me.	Örümceklerden nefret ediyorum.	Örümcekler beni korkutuyor.
Spinach	spinach	I hate spinach.	I never eat spinach.	Ispanaktan nefret ediyorum.	Ben asla ıspanak yemem.
Spine	spine				
Spiral	spiral				
Spirit	Spirit	Tom is spirited.	I love your spirit.	Tom canlı.	Senin ruhunu seviyorum.
Spiteful	spiteful				
Splint	splint				
Splinter	splinter				
Spokesperson	spokesperson				
Sponge	sponge				
Spontaneous	spontaneous	I'm spontaneous.	Are you spontaneous?	Ben spontaneyim.	Doğal mısın?
Spontaneously	spontaneously				
Sporty	sporty				
Spot	spot	I am in a spot.	Two spots were open.	Başım dertte.	İki nokta açıktı.
Sprain	sprain	I sprained my ankle.	I sprained my wrist.	Ayak bileğimi burktum.	Bileğimi burktum.
Spread	Spread	Spread the love.	Spread your fingers.	Sevgiyi yayın.	Parmaklarınızı ayırın.
Spring	spring	It's spring.	I sprang to my feet.	Bahar geldi.	Ayağa fırladım.
Spring	spring	It's spring.	I sprang to my feet.	Bahar geldi.	Ayağa fırladım.
Sprint	sprint				
Spy	spy	I am a spy.	I know Tom is a spy.	Ben bir casusum.	Tom'un casus olduğunu biliyorum.
Spying	spy	I am a spy.	I know Tom is a spy.	Ben bir casusum.	Tom'un casus olduğunu biliyorum.
Square	Square	I was square.	He has a square jaw.	Dürüsttüm.	Onun bir kare çenesi vardır.
Square	Square	I was square.	He has a square jaw.	Dürüsttüm.	Onun bir kare çenesi vardır.
Squash	squash	I play squash.	Do you play squash?	Duvar tenisi oynarım.	Squash oynar mısın?
Squid	squid				
Squid	squid				
Squirrel	squirrel	It's a squirrel.	Was that a squirrel?	O bir sincap.	O bir sincap mıydı?
Stab	stab	I got stabbed.	I tried to stab Tom.	Ben bıçaklandım.	Tom'u bıçaklamaya çalıştım.
Stab	stab	I got stabbed.	I tried to stab Tom.	Ben bıçaklandım.	Tom'u bıçaklamaya çalıştım.
Stable	stable	I'm stable.	Tom is a stable boy.	Aklım başımda.	Tom bir seyis.
Staff	staff	Staff members only.	We need more staff.	Sadece çalışanlar.	Daha fazla personele ihtiyacımız var.
Stage	stage	Tom came on stage.	Get off the stage.	Tom sahneye çıktı.	Sahneden in.
Stair	stair	Go up the stairs.	I sat on the stairs.	Merdivenlerden yukarı çıkın.	Merdivenlerde oturdum.
Stairs	stair	Go up the stairs.	I sat on the stairs.	Merdivenlerden yukarı çıkın.	Merdivenlerde oturdum.
Stalactite	stalactite				
Stalemate	stalemate				
Stamp	stamp	I need stamps.	Tom collects stamps.	Pullara ihtiyacım var.	Tom pul biriktiriyor.
Stamp	stamp	I need stamps.	Tom collects stamps.	Pullara ihtiyacım var.	Tom pul biriktiriyor.
Staple	staple				
Stapler	stapler	Is that a stapler?	Is that a stapler?	O bir tel zımba mı?	O bir tel zımba mı?
Starfish	starfish				
Stars	star	I see a star.	Tom wasn't the star.	Bir yıldız görüyorum.	Tom yıldız değildi.
Starter	starter				
Starting	start	Start.	I'll start with you.	Başla.	Senden başlayalım.
Starting	start	Start.	I'll start with you.	Başla.	Senden başlayalım.
Starving	starve	I'm starved.	Tom must be starved.	Açlıktan ölüyorum.	Tom açlıktan ölmüş olmalı.
State	state	I am the state.	State your business.	Ben devletim.	İşinizi belirtin.
Statistics	statistic				
Statue	statue	I like that statue.	This statue is ugly.	O heykeli seviyorum.	Bu heykel çirkin.
Steak	steak	I like steak.	Tom ordered a steak.	Bifteği severim.	Tom bir biftek sipariş etti.
Steam	steam				
Steam	steam				
Steel	steel	It's made of steel.	It is made of steel.	Çelikten yapılmış.	Çelikten yapılmış.
Stem	stem	What's a stem cell?	What's a stem cell?	Kök hücre nedir?	Kök hücre nedir?
Sterile	sterile	I'm sterile.	Mules are sterile.	Ben sterilim.	Katırlar kısırdır.
Steward	Steward				
Stick	Stick	Stick to it!	Hit it with a stick.	Onu yapmaya devam et.	Ona bir sopayla vur.
Sticker	sticker				
Stiff	stiff	My back is stiff.	I have a stiff neck.	Sırtım serttir.	Boynum tutulmuş.
Stifling	stifle	Tom stifled a grin.	Tom stifled a groan.	Tom bir sırıtmayı bastırdı.	Tom bir inilti bastırdı.
Still	still	Be still.	I'm still very busy.	Sakin ol!	Ben hala çok meşgulüm
Still	still	Be still.	I'm still very busy.	Sakin ol!	Ben hala çok meşgulüm
Stingy	stingy	Tom is stingy.	You're a bit stingy.	Tom cimri.	Sen biraz pintisin.
Stitches	stitch	Tom got stitches.	Do I need stitches?	Tom dikiş attı.	Dikişlere ihtiyacım var mı?
Stomach	stomach	My stomach hurts.	My stomach is upset.	Midem acıyor.	Midem berbat.
Stone	stone	Tom's stoned.	Stones don't float.	Tom sarhoş.	Taşlar yüzmezler.
Stone	stone	Tom's stoned.	Stones don't float.	Tom sarhoş.	Taşlar yüzmezler.
Stone	stone	Tom's stoned.	Stones don't float.	Tom sarhoş.	Taşlar yüzmezler.
Stone	stone	Tom's stoned.	Stones don't float.	Tom sarhoş.	Taşlar yüzmezler.
Stools	stool				
Stopwatch	stopwatch	I need a stopwatch.	I need a stopwatch.	Bir kronometreye ihtiyacım var.	Bir kronometreye ihtiyacım var.
Storehouse	storehouse				
Storm	storm	A storm arose.	The storm continued.	Bir fırtına çıktı.	Fırtına devam etti.
Storm	storm	A storm arose.	The storm continued.	Bir fırtına çıktı.	Fırtına devam etti.
Stormy	stormy	It's stormy.	It's stormy.	Hava fırtınalı.	Hava fırtınalı.
Stove	stove	I lit the stove.	Turn off the stove.	Sobayı yaktım.	Ocağı söndür.
Stowaway	stowaway				
Straightening	straighten	Straighten up.	Straighten up.	Doğru otur.	Doğru otur.
Strange	strange	Strange.	How strange life is!	Garip.	Hayat ne kadar garip!
Strategy	strategy	We need a strategy.	My strategy worked.	Bir stratejiye ihtiyacımız var.	Benim stratejim işe yaradı.
Straw	straw	Let's draw straws.	Let's draw straws.	Haydi saman çizelim.	Haydi saman çizelim.
Straw	straw	Let's draw straws.	Let's draw straws.	Haydi saman çizelim.	Haydi saman çizelim.
Strawberry	Strawberry	I love strawberries.	I love strawberries!	Çileği seviyorum.	Çilek severim!
Street	street	On what street?	The street was dark.	Hangi cadde üzerinde?	Cadde karanlıktı.
Strenght	strenght				
Stress	stress	I'm stressed out.	Tom seemed stressed.	Stresliyim.	Tom stresli görünüyordu.
Stretcher	stretcher				
Strict	strict	I'm strict.	We had strict rules.	Ben katıyım.	Katı kurallarımız vardı.
Strike	strike	I struck out.	What a great strike!	Beceremedim.	Ne büyük bir grev!
Striker	striker				
String	string				
Strip	strip				
Stroke	stroke	I had a stroke.	I just had a stroke.	Felç geçirdim.	Az önce felç oldum.
Stroke	stroke	I had a stroke.	I just had a stroke.	Felç geçirdim.	Az önce felç oldum.
Strong	strong	I'm strong.	A strong wind arose.	Ben güçlüyüm.	Güçlü bir rüzgar çıktı.
Stubborn	stubborn	I'm stubborn.	Tom may be stubborn.	Ben inatçıyım.	Tom inatçı olabilir.
Student	student	I'm a student.	We're good students.	Ben bir öğrenciyim.	Biz iyi öğrencileriz.
Studies	study	Study!	Study what you want.	Çalış!	İstediğini çalış.
Study	study	Study!	Study what you want.	Çalış!	İstediğini çalış.
Stuffed	stuff	Stuff it.	We'll get our stuff.	Hadi oradan be.	Eşyalarımızı alacağız.
Stunned	stun	I'm stunned.	We're still stunned.	Afalladım.	Hâlâ şaşkınız.
Stuntman	stuntman	I'm a stuntman.	I'm a stuntman.	Ben bir dublörüm.	Ben bir dublörüm.
Stylish	stylish	You're very stylish.	You're very stylish.	Çok şıksın.	Çok şıksın.
Submarine	submarine	Submarine submerged.	Is that a submarine?	Denizaltı suya daldı.	O bir denizaltı mı?
Submission	submission				
Submissive	submissive				
Subscriber	subscriber				
Subsidy	subsidy				
Substitute	Substitute				
Substraction	substraction				
Subtitle	subtitle	I need subtitles.	I need subtitles.	Alt yazılara ihtiyacım var.	Alt yazılara ihtiyacım var.
Suburb	suburb				
Succeed	succeed	I succeeded.	We hope you succeed.	Başardım.	Umarız başarırsın.
Success	success	I wish you success.	We wish you success.	Sana başarılar diliyorum.	Size başarılar dileriz.
Successor	successor				
Suddenly	suddenly	He died suddenly.	Fadil suddenly died.	O aniden öldü.	Fadıl aniden öldü.
Suddenly	suddenly	He died suddenly.	Fadil suddenly died.	O aniden öldü.	Fadıl aniden öldü.
Sugar	Sugar	Sugar!	It's powdered sugar.	Şeker!	Pudra şekeri bu.
Suggestion	suggestion	Any suggestions?	I made a suggestion.	Önerilerin var mı?	Ben bir öneri yaptım.
Suicidal	suicidal	It's suicidal.	I'm not suicidal.	O intihara meyilli.	İntiharla ilgili değilim.
Suit	suit	It suits me.	I never wear a suit.	O bana uyar.	Hiç takım elbise giymem.
Summarize	summarize				
Summary	summary				
Summer	summer	It's summer.	Summer came quickly.	Yaz.	Yaz çabucak geldi.
Sun	Sun	The sun is up.	Stand out of my sun.	Güneş tepede.	Gölge etme başka ihsan istemem.
Sunday	Sunday	Today is Sunday.	We'll go on Sunday.	Bugün pazar.	Pazar günü gideceğiz.
Sundown	Sundown				
Sunglasses	sunglass	I have sunglasses.	He wears sunglasses.	Güneş gözlüğüm var.	Güneş gözlüğü takıyor.
Sunni	sunni				
Sunny	sunny	It's sunny.	It's sunny just now.	Hava güneşli.	Sadece şimdi güneşli.
Sunscreen	sunscreen				
Superficial	superficial	It was superficial.	It was superficial.	O yüzeyseldi.	O yüzeyseldi.
Superlative	superlative				
Supermarket	supermarket				
Superstitious	superstitious				
Supervisor	supervisor	I'm the supervisor.	Tom is a supervisor.	Ben danışmanım.	Tom bir danışman.
Supple	supple				
Suppository	suppository				
Suppression	suppression				
Sura	sura				
Sure	sure	Sure!	It'll rain for sure.	Tabii!	Yağmur kesinlikle yağacak.
Surely	surely	Surely you must go?	Tom will surely win.	Kesinlikle gitmek zorunda mısın?	Tom kesinlikle kazanacak.
Surfer	Surfer	I'm a surfer.	Mary is a surfer.	Ben bir sörfçüyüm.	Mary sörfçüdür.
Surfing	surfing	Surfing was fun.	Tom likes surfing.	Sörf eğlenceliydi.	Tom sörf yapmayı sever.
Surgeon	surgeon	I'm a surgeon.	Tom is a surgeon.	Ben bir ameliyat doktoruyum.	Tom bir cerrah.
Surprise	surprise	Surprise!	That was a surprise.	Sürpriz!	O bir sürprizdi.
Surprise	surprise	Surprise!	That was a surprise.	Sürpriz!	O bir sürprizdi.
Surprising	surprising	That's surprising.	What was surprising?	Bu şaşırtıcı.	Ne şaşırtıcıydı?
Surrealist	surrealist				
Surrender	surrender	I surrender.	We won't surrender.	Ben teslim oluyorum.	Biz teslim olmayacağız.
Surrender	surrender	I surrender.	We won't surrender.	Ben teslim oluyorum.	Biz teslim olmayacağız.
Surveilance	surveilance				
Survey	survey	Who did the survey?	Who did they survey?	Anketi kim yaptı?	Onlar kimi araştırdılar?
Survivor	survivor	I'm a survivor.	There are survivors.	Ben bir felaketzedeyim.	Yaşayanlar var.
Susceptibility	susceptibility				
Suspect	suspect	I'm a suspect.	I suspected as much.	Ben bir şüpheliyim.	Ben de aynı miktarda şüphelendim.
Suspicious	suspicious	I'm suspicious.	I'm very suspicious.	Ben kuşkuluyum.	Ben çok şüpheciyim.
Sustainable	sustainable				
Swab	swab				
Swahili	swahili				
Swallow	swallow	Swallow the pill.	Swallow your pride!	Hapı yut.	Gururunu ayaklar altına alma!
Swallow	swallow	Swallow the pill.	Swallow your pride!	Hapı yut.	Gururunu ayaklar altına alma!
Swamp	swamp				
Sweat	sweat	I sweated.	Don't sweat it, Tom.	Ben terledim.	Endişelenme Tom.
Sweaty	sweaty	I am sweaty.	I am sweaty.	Terledim.	Terliyim.
Sweep	sweep	Sweep my room.	Tom swept the floor.	Odamı süpür.	Tom zemini süpürdü.
Sweet	Sweet	How sweet!	He is eating sweets.	Ne kadar tatlı!	Tatlı yiyor.
Swell	swell				
Swimming	swimming	No swimming.	Swimming is healthy.	Yüzmek yasaktır.	Yüzmek sağlıklıdır.
Swimsuit	Swimsuit	Bring your swimsuit.	Bring your swimsuit.	Mayonu getir.	Mayonu getir.
Swindle	swindle	He swindled her.	Tom swindled Mary.	O onu dolandırdı.	Tom, Mary'yi dolandırdı.
Swing	swing	Who broke the swing?	Who broke the swing?	Salıncağı kim kırdı?	Salıncağı kim kırdı?
Switch	switch	Switch it on.	Let's switch places.	Onu açın.	Yerleri değiştirelim.
Switzerland	Switzerland				
Syllable	syllable				
Symbol	symbol				
Symbolic	symbolic				
Symmetrical	symmetrical				
Synagogue	synagogue				
Synonym	synonym				
Syphilis	syphili				
Syria	Syria	I'm from Syria.	I'm from Syria.	Ben Suriyeliyim.	Ben Suriyeliyim.
Syrup	syrup				
T-shirt	t	Tom won a T-shirt.	I like that T-shirt.	Tom bir tişört kazandı.	Bu tişört hoşuma gidiyor.
TRUE	true	True.	That's true as well.	Doğru.	O da doğru.
Table	table	Which table?	Is that table dirty?	Hangi masa?	O masa kirli mi?
Table	table	Which table?	Is that table dirty?	Hangi masa?	O masa kirli mi?
Tablecloth	tablecloth				
Tablecloth	tablecloth				
Tactic	tactic	The tactic worked.	The tactic worked.	Taktik işe yaradı.	Taktik işe yaradı.
Tadpole	tadpole				
Tail	tail	My tail hurts!	Get off my tail.	Benim kuyruğum acıyor!	Git artık peşimden.
Tail	tail	My tail hurts!	Get off my tail.	Benim kuyruğum acıyor!	Git artık peşimden.
Tailor	tailor	We're tailors.	My tailor is rich.	Biz terziyiz.	Terzim zengindir.
Taiwan	Taiwan				
Take	take	Take it.	I'll take this path.	Al senin olsun.	Ben bu yoldan gideceğim.
Take-off	take	Take it.	I'll take this path.	Al senin olsun.	Ben bu yoldan gideceğim.
Talk	talk	Talk.	That horse can talk.	Konuş.	O at konuşabilir.
Talk	talk	Talk.	That horse can talk.	Konuş.	O at konuşabilir.
Talks	talk	Talk.	That horse can talk.	Konuş.	O at konuşabilir.
Tall	tall	I'm tall.	Sami is really tall.	Ben uzun boyluyum.	Sami gerçekten uzun.
Tank	tank	The tank is full.	Tom has a reef tank.	Depo doludur.	Tom'un bir resif tankı vardır.
Tanned	tan	Tom got a tan.	She has a fake tan.	Tom'un bir bronzluğu var.	Onun sahte bir bronzluğu var.
Tar	tar				
Tarantula	tarantula				
Target	target	Change target.	They hit the target.	Hedef değiştir.	Hedefe vurdular.
Task	task	What is my task?	The task isn't done.	Benim görevim nedir?	Görev tamamlanmadı.
Tasty	tasty	So tasty!	The apple was tasty.	Çok lezzetli.	Elma lezzetliydi.
Tattoo	tattoo	I have a tattoo.	Show me your tattoo.	Bir dövmem var.	Dövmeni göster.
Taut	taut				
Tax	tax	It's tax season.	How much is the tax?	Bu vergi sezonu.	Vergi ne kadar?
Taxes	taxis	I pay taxes.	We need lower taxes.	Vergileri öderim.	Daha düşük vergilere ihtiyacımız var.
Taxi	taxi	I need a taxi!	Is he a taxi driver?	Bir taksiye ihtiyacım var!	O bir taksi şoförü mü?
Taxpayer	Taxpayer	I'm a taxpayer.	We're all taxpayers.	Ben bir vergi mükellefiyim.	Biz hepimiz vergi mükellefiyiz.
Tea	tea	Give tea.	I love drinking tea.	Çay ver.	Çay içmeyi severim.
Teach	teach	I teach.	I teach him English.	Ben öğretirim.	Ona İngilizce öğretiyorum.
Teacher	teacher	I'm a teacher.	I hate art teachers.	Ben bir öğretmenim.	Resim öğretmenlerinden nefret ediyorum.
Teacher	teacher	I'm a teacher.	I hate art teachers.	Ben bir öğretmenim.	Resim öğretmenlerinden nefret ediyorum.
Teacher	teacher	I'm a teacher.	I hate art teachers.	Ben bir öğretmenim.	Resim öğretmenlerinden nefret ediyorum.
Team	team	What a team!	A medical team came.	Ne ekip ama!	Tıbbi bir ekip geldi.
Teapot	teapot				
Tear	tear	I tore one.	Sami burst in tears.	Bir tane yırttım.	Sami gözyaşlarına boğuldu.
Tear	tear	I tore one.	Sami burst in tears.	Bir tane yırttım.	Sami gözyaşlarına boğuldu.
Teaspoon	teaspoon				
Teat	teat				
Technological	technological				
Technology	technology	I love technology.	Technology can help.	Ben teknolojiyi seviyorum.	Teknoloji yardım edebilir.
Teenager	Teenager	I hate teenagers.	Emily is a teenager.	Gençlerden nefret ediyorum.	Emily bir ergendir.
Teeth	tooth	My teeth hurt.	I clenched my teeth.	Dişlerim acıyor.	Dişlerimi sıktım.
Telepathy	telepathy				
Telescope	telescope	I want a telescope.	I have a telescope.	Bir teleskop istiyorum.	Bir teleskobum var.
Temperature	temperature				
Temple	Temple	Destroy this temple.	Destroy this temple.	Bu tapınağı imha et.	Bu tapınağı yıkın.
Tempo	Tempo				
Temporary	temporary	This is temporary.	It's only temporary.	Bu geçici.	O sadece geçici.
Temporary	temporary	This is temporary.	It's only temporary.	Bu geçici.	O sadece geçici.
Temptation	temptation				
Ten	ten	Are you ten?	The gum's ten cents.	On yaşında mısın?	Sakız on sent.
Tenacious	tenacious	He was tenacious.	He was tenacious.	O inatçıydı.	O inatçıydı.
Tenant	Tenant				
Tender	tender	This beef is tender.	This beef is tender.	Bu sığır eti yumuşak.	Bu sığır eti yumuşak.
Tenderness	tenderness				
Tendinitis	tendinitis				
Tendon	Tendon				
Tennis	tennis	I like tennis.	I don't like tennis.	Tenise bayılırım.	Tenis sevmiyorum.
Tent	tent	We put up a tent.	Tom set up the tent.	Biz bir çadır kurduk.	Tom çadırı kurdu.
Tentacle	tentacle				
Tenth	tenth	I'm a tenth grader.	I'm a tenth grader.	Ben bir onuncu sınıf öğrencisiyim.	Ben bir onuncu sınıf öğrencisiyim.
Terminus	Terminus				
Termitary	termitary				
Termite	Termite	Termites eat wood.	Termites eat wood.	Termitler tahta yer.	Termitler tahta yer.
Terrace	terrace				
Terrible	terrible	It's terrible.	My life is terrible.	Bu berbat.	Benim hayatım çok kötü.
Terrier	terrier				
Terrorism	terrorism	It was terrorism.	I hate terrorism.	Terörizmdi.	Terörizmden nefret ediyorum.
Terrorist	terrorist	Tom is a terrorist.	I'm not a terrorist.	Tom bir terörist.	Terörist değilim.
Test	test	I tested one.	I haven't tested it.	Ben birini test ettim.	Ben onu test etmedim.
Testicle	testicle				
Testimony	testimony				
Testosterone	testosterone				
Tetanus	tetanus				
Tetons	teton				
Text	text	I got your text.	Who wrote this text?	Mesajını aldım.	Bu metni kim yazdı?
Textile	textile				
Thailand	Thailand	I'm from Thailand.	Thailand is in Asia.	Ben Taylandlıyım.	Tayland, Asya'dadır.
Thaw	thaw				
Theater	theater	Theater is boring.	Sami loved theater.	Tiyatro sıkıcıdır.	Sami tiyatroyu sevdi.
Then	then	And then?	So who are you then?	Ya sonra?	Peki o zaman sen kimsin?
Theory	theory	I have a theory.	I revised my theory.	Benim bir teorim var.	Teorimi yeniden inceledim.
Therefore	therefore	Therefore?	Therefore?	Bu yüzden	Bu yüzden
Thermometer	Thermometer				
Thermos	Thermos	Where's my thermos?	Where's my thermos?	Termosum nerede?	Termosum nerede?
Thick	thick	The soup is thick.	Tom is thick-headed.	Çorba koyu.	Tom aptal.
Thief	thief	Stop thief!	We caught the thief.	Dur hırsız!	Çalanı yakaladık.
Thigh	thigh				
Thin	thin	I'm thin.	Why are you so thin?	Ben zayıfım.	Neden bu kadar zayıfsın?
Third	third	I was third.	I was third in line.	Üçüncüydüm.	Sırada üçüncüydüm.
Third	third	I was third.	I was third in line.	Üçüncüydüm.	Sırada üçüncüydüm.
Thirsty	thirsty	I'm thirsty.	Are you thirsty now?	Susadım.	Şimdi susadın mı?
Thirsty	thirsty	I'm thirsty.	Are you thirsty now?	Susadım.	Şimdi susadın mı?
Thirteen	thirteen	I'm thirteen.	Tom is now thirteen.	Ben on üç yaşındayım.	Tom şimdi on üç yaşında.
Thirtieth	Thirtieth				
Thirty	thirty	I'm thirty.	Thirty years passed.	Otuz yaşındayım.	Otuz sene geçmiş.
Thousand	thousand				
Thousand	thousand				
Thousandth	Thousandth				
Thread	thread				
Threat	threat	Tom's a threat.	Atheism is a threat.	Tom bir tehdit.	Ateizm bir tehdittir.
Threatening	threaten	I was threatened.	She threatened Mary.	Tehdit edildim.	O Mary'yi tehdit etti.
Three	three	Gimme three.	We need three rooms.	Bana üç tane ver.	Üç odaya ihtiyacımız var.
Throat	throat	My throat hurts.	I cleared my throat.	Boğazım ağrıyor.	Boğazımı temizledim.
Thrombolytic	thrombolytic				
Thrombosis	thrombosis				
Throne	throne				
Throttle/stick	Throttle				
Throw	throw	Throw.	Tom threw a tantrum.	At.	Tom sinir krizi geçirdi.
Thunder	thunder				
Thunder	thunder				
Thursday	Thursday	Until Thursday!	The show's Thursday.	Perşembe günü görüşürüz!	Şov perşembe günü.
Tibet	Tibet				
Tibia	Tibia				
Tick	tick	The hours ticked by.	The hours ticked by.	Saatler acımasızca geçti.	Saatler acımasızca geçti.
Ticket	ticket	Ticket, please.	Tom has the tickets.	Bilet, lütfen.	Tom'un biletleri var.
Ticket	ticket	Ticket, please.	Tom has the tickets.	Bilet, lütfen.	Tom'un biletleri var.
Ticket	ticket	Ticket, please.	Tom has the tickets.	Bilet, lütfen.	Tom'un biletleri var.
Tide	tide	The tide had turned.	The tide has turned.	Gelgit dönmüştü.	İşler tersine döndü.
Tie	tie	Nice tie.	I was wearing a tie.	Hoş kravat.	Kravat takmıştım.
Tiger	tiger	Do tigers purr?	This is not a tiger.	Kaplanlar mırlar mı?	Bu bir kaplan değil.
Tile	tile				
Time	time	Any time.	This time it's full.	Her zaman.	Bu sefer dolu.
Tip	tip	Should I tip?	Thanks for the tips.	Bahşiş vermem gerekir mi?	Bahşiş için teşekkürler.
Tire	tire	I tire easily.	The tire leaks air.	Ben kolayca yorulurum.	Lastik hava kaçırıyor.
Tired	tired	So tired!	He felt a bit tired.	Çok yorgun!	O biraz yorgun hissetti.
Tireless	tireless	Tom is tireless.	Tom is tireless.	Tom yorulmaz.	Tom yorulmaz.
Title	title				
Toad	Toad	She touched a toad.	She touched a toad.	O bir karakurbağasına dokundu.	O bir karakurbağasına dokundu.
Toast	Toast	Toast!	I like French toast.	Şerefe!	Fransız usulü tostu severim.
Toaster	toaster	I have a toaster.	I have a toaster.	Bir tost makinem var.	Bir tost makinem var.
Tobacco	tobacco	Tom chews tobacco.	Tom chews tobacco.	Tom tütün çiğner.	Tom tütün çiğner.
Today	today	We met today.	I'm depressed today.	Bugün buluştuk.	Bugün canım sıkkın.
Toes	toe	His toe bleeds.	My little toe hurts.	Parmağı kanıyor.	Küçük ayak parmağım ağrıyor.
Together	together	Stay together.	Let's play together.	Birlikte kalın.	Haydi birlikte çalalım.
Together	together	Stay together.	Let's play together.	Birlikte kalın.	Haydi birlikte çalalım.
Tolerant	tolerant	Be tolerant.	I've been tolerant.	Hoşgörülü olun.	Ben hoşgörülüydüm.
Toll	toll				
Tomatoe	Tomatoe				
Tomorrow	tomorrow	Tomorrow?	It expires tomorrow.	Yarın mı?	Yarın tarihi geçiyor.
Ton	ton	It was a ton of fun.	I have tons of debt.	O çok eğlenceliydi.	Tonla borcum var.
Tonight	tonight	Not tonight.	It's cooler tonight.	Bu gece değil.	Bu gece daha serin.
Too	too	Me too!	The girl is too shy.	Ben de!	Kız çok çekingen.
Tool	tool	I need tools.	Bring your tool box.	Aletlere ihtiyacım var.	Alet kutunu getir.
Tooth	tooth	My teeth hurt.	I clenched my teeth.	Dişlerim acıyor.	Dişlerimi sıktım.
Toothache	toothache	I have a toothache.	Tom has a toothache.	Dişim ağrıyor.	Tom'un bir diş ağrısı var.
Toothbrush	Toothbrush	I need a toothbrush.	I need a toothbrush.	Bir diş fırçasına ihtiyacım var.	Bir diş fırçasına ihtiyacım var.
Tornado	Tornado				
Torpedo	Torpedo	Damn the torpedoes!	Damn the torpedoes!	Tehlikenin canı cehenneme!	Tehlikenin canı cehenneme!
Torpedo	Torpedo	Damn the torpedoes!	Damn the torpedoes!	Tehlikenin canı cehenneme!	Tehlikenin canı cehenneme!
Torrent	Torrent				
Torticollis	torticolli				
Torture	torture	I was tortured.	It was like torture.	Ben işkence gördüm.	Bu işkence gibiydi.
Toucan	toucan				
Touch	touch	Touch it.	Don't touch my porn.	Ona dokun.	Pornoma dokunma.
Touchpad	touchpad				
Touchy	touchy	Tom is touchy.	Tom is quite touchy.	Tom hassas.	Tom oldukça alıngan.
Tough	tough	I'm tough.	It was a tough call.	Ben sert kimseyim.	Zor bir karardı.
Tournament	tournament				
Tourniquet	tourniquet				
Towel	towel	Get me a towel.	There are no towels.	Bana bir havlu getir.	Hiç havlu yok.
Tower	tower	That's a tower.	The tower collapsed.	Bu bir kule.	Kule çöktü.
Track	track	We're on track now.	I'm tracking a buck.	Biz şimdi yoldayız.	Bir geyiğin izini sürüyorum.
Tracks	track	We're on track now.	I'm tracking a buck.	Biz şimdi yoldayız.	Bir geyiğin izini sürüyorum.
Tract	tract				
Tractor	tractor				
Trade	trade	Let's make a trade.	He's always trading.	Ticaret yapalım.	O, her zaman ticaret yapıyor.
Tradition	tradition	It's a tradition.	It was a tradition.	Bu bir gelenek.	O bir gelenekti.
Traditional	traditional				
Traffic	traffic	Traffic was light.	The traffic was bad.	Trafik yoğun değildi.	Trafik kötüydü.
Traffic	traffic	Traffic was light.	The traffic was bad.	Trafik yoğun değildi.	Trafik kötüydü.
Tragic	tragic	How tragic!	What a tragic story!	Ne trajik!	Ne acıklı bir hikaye!
Train	train	I like trains.	I'll miss the train.	Trenleri severim.	Treni kaçıracağım.
Trainee	trainee	I'm a trainee.	Tom is a trainee.	Ben bir stajyerim.	Tom bir stajyer.
Training	training	I'm in training.	We had the training.	Eğitimdeyim.	Biz eğitim aldık.
Training	training	I'm in training.	We had the training.	Eğitimdeyim.	Biz eğitim aldık.
Training	training	I'm in training.	We had the training.	Eğitimdeyim.	Biz eğitim aldık.
Traitor	traitor	Traitor!	These are traitors.	Hain!	Bunlar vatan haini.
Translation	translation				
